Species,SLA,LDMC,SEED,HT,SLA_unit,LDMC_unit,SEED_unit,HT_unit
Acaena.novae-zelandiae,13.12075909,34.13718802,1.70625,0.3,mm2 mg1,percent,mg,m
Acetosella.vulgaris,19.5518227,12.40320256,0.4732,0.2,mm2 mg2,percent,mg,m
Acrothamnus.spp.,8.040816327,52.5,9,0.5,mm2 mg3,percent,mg,m
Agrostis.capillaris,16.45467726,36.67844523,0.090314286,0.45,mm2 mg4,percent,mg,m
Agrostis.venusta,6.76,47.91666667,0.1266383,0.3,mm2 mg5,percent,mg,m
Argyrotegium.fordianum,14.54368123,32.90509647,0.0871319,0.03,mm2 mg6,percent,mg,m
Argyrotegium.nitidulum,14.92896081,39.19415569,0.1,0.03,mm2 mg7,percent,mg,m
Asperula.gunnii,9.098501543,25.19455556,4.234117647,0.2,mm2 mg8,percent,mg,m
Asperula.pucilla,6.57,25,0.792,0.2,mm2 mg9,percent,mg,m
Asterolasia.trymalioides,5.223714904,45.57483514,2.371666667,0.5,mm2 mg10,percent,mg,m
Brachyscome.decipiens,11.46,17.82,0.5688,0.16,mm2 mg11,percent,mg,m
Brachyscome.nivalis,6.594009202,26.27968358,0.486,0.15,mm2 mg12,percent,mg,m
Brachyscome.scapigera,17.04,17.23,0.5,0.15,mm2 mg12,percent,mg,m
Carex.breviculmis,15.20700594,35.76175558,1.035185,0.1,mm2 mg13,percent,mg,m
Carex.hebes,10.7574584,43.65426227,0.65038,0.2,mm2 mg14,percent,mg,m
Celmisia.spp.,4.761131209,38.76454979,2.793375,0.2,mm2 mg15,percent,mg,m
Cerastium.spp.,21.1,18.3908046,0.113584906,0.35,mm2 mg16,percent,mg,m
Colobanthus.affinis,8.951630571,23.76067357,0.130118182,0.1,mm2 mg17,percent,mg,m
Coronidium.monticola,23.3068345,22.9938272,0.18142,0.13,mm2 mg17,percent,mg,m
Craspedia.spp.,11.7375989,21.94466592,0.957876829,0.55,mm2 mg18,percent,mg,m
Deyeuxia.monticola,6.6302521,34.54014599,0.2545,0.45,mm2 mg19,percent,mg,m
Epilobium.billardierianum,23.985,25,0.05,0.5,mm2 mg20,percent,mg,m
Euphrasia.collina,9.808647718,23.38729082,0.1883,0.4,mm2 mg21,percent,mg,m
Ewartia.nubigena,19.86486486,41.11111111,0.0664,0.1,mm2 mg22,percent,mg,m
Exocarpus.nanus,7.230973451,48.49785408,10.314,0.1,mm2 mg23,percent,mg,m
Gentianella.muelleriana,20.31958872,18.16864307,0.396,0.25,mm2 mg24,percent,mg,m
Geranium.spp.,12.89091876,26.10576923,1.519318182,0.35,mm2 mg25,percent,mg,m
Grevillea.australis,5.454545455,40.63063063,8.1919,1.2,mm2 mg26,percent,mg,m
Gonocarpus.montanus,18.81355932,25.65217391,0.703016,0.15,mm2 mg27,percent,mg,m
Goodenia.hederacea,7.411263885,41.58788637,0.526842105,0.3,mm2 mg28,percent,mg,m
Goodenia.montanus,9.83,22.87,0.526842105,0.02,mm2 mg29,percent,mg,m
Hypochaeris.radicata,19.56243912,14.74186823,0.866714286,0.6,mm2 mg30,percent,mg,m
Isolepis.spp.,10.59,42.09,0.122976923,0.05,mm2 mg31,percent,mg,m
Leptinella.filicila,28.96,14.8,0.227,0.03,mm2 mg32,percent,mg,m
Luzula.acutifolia,8.300349074,34.59440114,0.33,0.05,mm2 mg33,percent,mg,m
Luzula.modesta,9.242671031,36.53854442,0.427083,0.3,mm2 mg34,percent,mg,m
Luzula.novae-cambriae,14.46835642,32.62048193,0.46,0.3,mm2 mg35,percent,mg,m
Lycopodium.fastigiatum,25.61,37.84,0.001,0.1,mm2 mg36,percent,mg,m
Melicytus.angustifolius,12.14912281,29.61038961,9,0.6,mm2 mg37,percent,mg,m
Microseris.lanceolata,19.79548936,13.77850163,3.252,0.5,mm2 mg38,percent,mg,m
Olearia.brevipedunculata,8.802266667,52.44618395,0.6975,1,mm2 mg39,percent,mg,m
Olearia.frostii,8.467568972,40.33264925,0.86,0.4,mm2 mg40,percent,mg,m
Olearia.phlogopappa,9.046610169,41.22270742,0.419533333,1.4,mm2 mg41,percent,mg,m
Oreomyrrhis.eriopoda,8.345845483,30.33020404,4.5388,0.3,mm2 mg42,percent,mg,m
Orites.lancifolius,4.179176211,48.5042735,6.882714286,2,mm2 mg43,percent,mg,m
Pappachroma.bellidoidies,9.17296586,26.91411978,0.248,0.16,mm2 mg44,percent,mg,m
Pappochroma.nitidum,10.7985635,26.58654793,0.764211,0.16,mm2 mg45,percent,mg,m
Phebalium.squamulosum,6.28,48.66666667,1.22655,1.3,mm2 mg46,percent,mg,m
Pimelea.alpina,11.0705036,36.57894737,2.613,0.15,mm2 mg47,percent,mg,m
Pimelea.axiflora,10.14357877,41.63463331,2.6185,0.75,mm2 mg48,percent,mg,m
Plantago.euryphylla,8.741188627,15.74686017,0.3193,0.11,mm2 mg49,percent,mg,m
Poa.costiniana,4.93,51.05,0.27005,0.6,mm2 mg50,percent,mg,m
Poa.fawcettiae,15.23436876,50.59173557,0.359091,0.45,mm2 mg51,percent,mg,m
Poa.helmsii,5.32,35.35,0.45,1,mm2 mg52,percent,mg,m
Poa.hiemata,7.407038843,46.84032368,0.35,0.6,mm2 mg53,percent,mg,m
Poa.hothamensis,12.95722557,47.50526896,0.434,0.45,mm2 mg54,percent,mg,m
Poa.phillipsiana,5.6,47,0.31953,0.60425,mm2 mg55,percent,mg,m
Podocarpus.lawrencii,4.98,41.2,14.002,3,mm2 mg56,percent,mg,m
Polystichum.proliferum,11.19,30.78,0.001,1.15,mm2 mg57,percent,mg,m
Prasophyllum.sp.,22.89117209,13.3126935,0.007431352,0.3,mm2 mg58,percent,mg,m
Ranunculus.eichlaranus,12,23,4.3176,0.2,mm2 mg59,percent,mg,m
Ranunculus.victoriensis,12.23463855,22.7787307,0.967777778,0.18,mm2 mg60,percent,mg,m
Rytidosperma.nudiflorum,5.739243547,45.86719074,1.275,0.3,mm2 mg61,percent,mg,m
Scleranthus.biflorus,2.223691196,32.26305024,0.552,0.12,mm2 mg62,percent,mg,m
Scleranthus.singuliflorus,9.772727273,44,1.00404,0.24,mm2 mg63,percent,mg,m
Senecio.pinnatifolius,8.425742846,22.94251192,0.2884,0.65,mm2 mg64,percent,mg,m
Stackhousia.pulvinarus,15.8,20.29,2.61718,0.03,mm2 mg65,percent,mg,m
Stellaria.pungens,19.90581829,28.37145919,5.4098,0.6,mm2 mg66,percent,mg,m
Stylidium.graminifolium,10.36389414,20.77225131,0.235106383,0.65,mm2 mg67,percent,mg,m
Trachymene.humulis,18.56,20.81,2.16,0.2,mm2 mg68,percent,mg,m
Trifolium.repens,32.69907189,20.02620313,0.589,0.3,mm2 mg69,percent,mg,m
Trisetum.spicatum,11.0319868,43.36109828,0.3772,0.6,mm2 mg70,percent,mg,m
Viola.betonicifolia,15.3680843,21.9225176,1.365,0.45,mm2 mg71,percent,mg,m
Wahlenbergia.gloriosa,15.39027197,24.76683938,0.0249,0.3,mm2 mg72,percent,mg,m
